iter	Logloss
0	0.6774338729
1	0.6608875627
2	0.6443995524
3	0.6305434151
4	0.6175059036
5	0.6062524681
6	0.5947027249
7	0.5851735245
8	0.5753562436
9	0.5655397347
10	0.5580656078
11	0.5491041409
12	0.5410727631
13	0.5336192639
14	0.5279416675
15	0.5213864492
16	0.5153147224
17	0.5090158544
18	0.5037401029
19	0.4996355711
20	0.4939196402
21	0.4904003756
22	0.4857413683
23	0.4817459701
24	0.477835983
25	0.4749094547
26	0.471308903
27	0.46895711
28	0.4662831947
29	0.4626627901
30	0.4606740988
31	0.4575441407
32	0.4546619657
33	0.4519755411
34	0.4497281852
35	0.4471386193
36	0.4444248133
37	0.4420416973
38	0.4399504259
39	0.4375528357
40	0.4356199519
41	0.4334892995
42	0.4316513865
43	0.4301563075
44	0.4285474356
45	0.426510889
46	0.4243365027
47	0.4227206008
48	0.4213376434
49	0.4198803855
50	0.4184729759
51	0.4169610646
52	0.4156161678
53	0.4149376961
54	0.4137134914
55	0.4124149902
56	0.411187853
57	0.4101264948
58	0.4092216914
59	0.4079825442
60	0.4076674025
61	0.407290601
62	0.4066750362
63	0.4058186361
64	0.4051182517
65	0.4039677905
66	0.4030850307
67	0.4025165721
68	0.4015446521
69	0.4003967301
70	0.3993394372
71	0.3983688984
72	0.3975178687
73	0.3966968563
74	0.3957105935
75	0.3949766444
76	0.3945075466
77	0.394283049
78	0.393352717
79	0.3926917198
80	0.3921638111
81	0.3914161079
82	0.390480929
83	0.3899548593
84	0.3890153465
85	0.3884676926
86	0.3876914288
87	0.3873614257
88	0.3866648953
89	0.3857971826
90	0.3850009681
91	0.3843249126
92	0.3836192286
93	0.3829852959
94	0.3821551045
95	0.381640216
96	0.3812888697
97	0.380825255
98	0.3803712009
99	0.379984299
