iter	Passed	Remaining
0	2	222
1	2	140
2	4	149
3	6	150
4	6	127
5	8	132
6	10	134
7	11	136
8	13	131
9	14	127
10	15	129
11	17	125
12	17	117
13	18	113
14	20	114
15	20	109
16	21	103
17	22	104
18	23	101
19	24	96
20	24	92
21	25	90
22	26	90
23	28	89
24	29	88
25	29	85
26	30	81
27	30	78
28	30	75
29	32	75
30	32	72
31	34	73
32	35	72
33	35	69
34	37	69
35	38	68
36	39	66
37	40	65
38	40	63
39	41	61
40	42	61
41	43	60
42	44	59
43	46	59
44	47	58
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	57	47
55	58	46
56	59	44
57	60	43
58	62	43
59	62	41
60	63	40
61	63	39
62	64	37
63	64	36
64	65	35
65	66	34
66	67	33
67	67	31
68	68	30
69	69	29
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	88	14
86	89	13
87	90	12
88	91	11
89	93	10
90	95	9
91	96	8
92	98	7
93	99	6
94	100	5
95	102	4
96	103	3
97	104	2
98	105	1
99	107	0
